order_id,payment_method,date,total,feature_1,feature_2,category
67818142-df7d-47e1-b02d-51a5fa7ff68a,American Express,2024-08-11,626.0,-145.0,-0.5665479140331549,1
46bc345f-632c-43dd-9221-0f3ea98ae737,МИР,2024-08-13,123.0,,-0.49475167282534416,2
9b7e1389-ac9a-461b-bc74-b64a437c7e3b,American Express,2024-08-13,307.0,-207.0,-0.4847515742475682,1
c71ae7df-d715-4791-8aa0-9a541bcf896c,American Express,2024-08-14,627.0,-213.0,1.3237843483686726,1
bed91b3e-a55f-4d7a-b917-25894af8fc8f,Maestro,2024-08-17,,-74.0,0.9075225158070488,1
b0a57197-eaf1-470b-9847-4894e46f10e9,МИР,2024-08-19,635.0,-64.0,0.9077076206681348,1
3393807d-e99f-41f6-b30e-e16b888e6fdd,American Express,2024-08-20,462.0,-134.0,0.9650335001678805,2
37615dbb-8eba-4590-bb69-2d19ead39f6d,Visa,2024-08-22,170.0,109.0,1.1650842199902587,2
4ddf25ca-145d-4141-9a67-799a8bbd6a72,Union Pay,2024-08-25,489.0,,-0.6622184321360416,2
e8416c83-2182-43b1-ae4f-7fd95d0837e8,American Express,2024-08-26,712.0,115.0,,2
e673d66a-267f-4fa3-b91e-3298c161d89c,Visa,2024-08-30,974.0,57.0,-2.5479583900250717,1
bdbf03ff-3f04-480c-9a76-cc157095e561,Maestro,2024-08-31,133.0,238.0,-1.1384386454986606,2
570460c1-e4e6-43fd-8cd4-a1272a80a5d5,American Express,2024-08-31,123.0,-124.0,-1.0890008072203645,1
3d50a867-5e4a-49e0-86db-438e61d5f723,Union Pay,2024-09-03,828.0,-19.0,-2.232646646665439,1
b74ed945-e677-4e2e-b556-374c3e7009f7,МИР,2024-09-03,390.0,-274.0,-0.6863637085348848,1
43764a2b-92f4-45ff-9636-db1adf1782a3,Mastercard,2024-09-07,517.0,-74.0,-1.2797042246919654,1
aabfa7fb-405f-4447-8c61-062871fcb717,American Express,2024-09-08,259.0,118.0,0.8510265228244989,2
6566ef57-b984-4118-8a2b-b72569a0003c,МИР,2024-09-11,325.0,147.0,,2
6e7334d0-6f44-48dc-a305-3b191026f384,American Express,2024-09-14,156.0,-60.0,0.18771669654756118,2
6ada7d39-a4b5-43d5-aa43-0f64d77d6ca7,American Express,2024-09-25,980.0,84.0,0.8881195625047602,2
576747c5-c0c4-444d-be4b-314acb7518db,Maestro,2024-09-25,360.0,,2.9390295823084918,2
96700f91-cffc-4ee3-a518-b93cd5237eaf,Mastercard,2024-09-29,445.0,65.0,0.14631727389546156,2
7246fdfb-8461-405e-99a6-d0ab3bc8f823,Union Pay,2024-10-01,359.0,192.0,0.48563480333750486,2
